BAT ID,Unnamed: 0,BAT Name,CTPT Name,spec. source,FWHM narrow [km/s],err,F(OI 6300) [e-15 erg/s/cm2],err.1,F(NII red) [e-15 erg/s/cm2],err.2,F(NII total) [e-15 erg/s/cm2],err.3,F(Ha narrow) [e-15 erg/s/cm2],err.4,F(SII blue) [e-15 erg/s/cm2],err.5,F(SII red) [e-15 erg/s/cm2],err.6,F(Ha broad) [e-15 erg/s/cm2],err.7,FWHM(Ha broad) [km/s],err.8,Unnamed: 23,quality flag,6DF flag: flux calibration problem,EQW(Ha broad) [A,high z,comments,Two broad components,table,Corrected F(OI 6300) [e-15 erg/s/cm2],Corrected F(NII red) [e-15 erg/s/cm2]
136.0,1.0,,ESO 198-024,Saao,268.8495049,0.0,-9.66,2.23e-16,16.61895556,0.6665363505,0.0,0.0,11.69299918,1.161846491,-13.31621749,0.0,-13.31621749,0.6120411313,0.0,0.0,0.0,0.0,,9,,0.0,0,,,,,
140.0,,,NGC 1052,Palomar_txt,633.4997353,1.093656379,67.21,0.2069987875,109.2779195,0.342478486,0.0,0.0,81.81431452,0.5474339871,92.14664039,0.3658692842,82.74975489,0.2822530477,185.979812,1.275079569,2104.687514,5.802411457,,1,,28.73376312,0,,,,,
144.0,,,NGC 1068,Crenshaw_Deveny,995.3650699,1.155454862,882.01,6.668860586,11934.9955,7.953997851,0.0,0.0,6497.454302,3.748755401,1149.024116,8.421332884,1594.037769,8.965365484,4027.84704,26.35627119,3214.432885,20.46525749,,2,,54.34551271,0,,,,,
150.0,,,2MASX J02502722+4647295,Crenshaw_Deveny,283.1236715,1.621966161,3.33,0.1691437022,6.221865052,0.1405709096,0.0,0.0,55.5017638,0.4653249981,8.390455652,0.2214261017,6.099317133,0.1183506514,47.59751063,1.319075748,2046.675562,24.97345963,,2,,126.9941959,0,,,,,
180.0,,,2MASX J03305218+0538253,SNIFS,563.418503,5.0311649,13.55,0.426547334,27.79056836,1.585880847,0.0,0.0,362.99155,3.13603493,19.23436066,1.159278435,18.19348595,0.6927996096,608.6968867,4.907118504,2732.556855,30.88826828,,1,,228.3120885,0,,,,,
199.0,,,2MASX J03561995-6251391,6DF,538.7844037,12.5868496,4.48,0.3587211919,10.83486935,0.278240378,0.0,0.0,17.94260587,0.831129941,4.888759344,0.3116601449,4.847171428,0.2128056347,25.18773913,1.982538986,1833.618987,109.8749354,,1,6.0,78.89890321,0,,,,,
205.0,,,ESO 549- G 049,6DF,403.4196946,22.37230537,3.39,2.833536717,56.38229026,8.403617646,0.0,0.0,89.82950578,6.020622519,10.36182077,4.152080025,12.0562244,4.061251,63.39166311,0.0,2363.178393,0.0,,1,6.0,18.11291165,0,,,,,
207.0,1.0,,ESO 359- G 019,6DF,550.3938795,22.87722127,-3.13,0.6123339309,6.549006224,1.221940984,0.0,0.0,8.915596418,0.8872019547,2.118310463,0.3065182397,2.355892143,0.4364778046,194.8498798,3.669043284,11410.09714,57.65241631,,1,6.0,219.3699156,0,,,,,
239.0,,,UGC 3157,Palomar,520.3513732,1.250398062,6.13,0.1647759566,35.36684594,0.181303331,0.0,0.0,16.81390882,0.3683373515,12.81493933,0.2000375061,12.73631609,0.0568075653,40.48322712,0.2252894713,2435.41775,50.40038909,,2,,27.17257643,0,,,,,
243.0,,,RBS 594,Saao,499.0356467,9.795585189,-8.75,0.4611180096,-6.501448141,0.584561204,0.0,0.0,17.6834379,0.6950648488,-4.389268148,0.1724909383,-4.389268148,0.5823895544,190.4369523,0.9380380244,5142.288479,49.91292873,,2,,491.5588103,0,,,,,
