BAT ID,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity
1110.0,150.7060094,65.93,178.5,22.78,1.2,9.28551678553e+43
1114.0,1279.617014,132.83,37.1,20.7,1.2,7.83371851809e+43
1116.0,252.0463076,303.19,14.9,21.43,1.9,1.63914631592e+44
1117.0,62.04920233,111.54,19.3,21.28,1.5,2.87356017965e+43
1118.0,516.4793669,266.79,25.6,20.0,1.2,2.1806238957e+44
1120.0,,991.11,12.3,20.0,1.5,1.44594087552e+45
1122.0,878.1346981,536.42,9.8,21.46,1.2,3.37471970065e+44
1127.0,136.4705547,69.55,14.3,24.0,1.9,8.27812564084e+42
1128.0,,761.72,8.8,20.0,1.5,6.1104767659e+44
1132.0,4743.811852,861.53,11.7,20.0,1.2,1.03926997172e+45
1133.0,,121.62,26.3,22.32,2,4.65551203967e+43
1135.0,,33.9,108.8,22.91,2,1.49633901336e+43
1137.0,,1539.67,12.3,20.0,1,3.48949125627e+45
1141.0,469.4944106,100.02,10.5,20.0,1.2,1.25708518152e+43
1143.0,276.7143405,316.9,13.7,20.0,1,1.64651902425e+44
1145.0,,233.25,13.3,23.48,2,8.65957650173e+43
1146.0,,320.81,8.6,20.0,1,1.05924385508e+44
1149.0,408.5329596,404.74,16.0,21.52,1.5,3.13670694015e+44
1150.0,492.1452726,130.74,11.5,20.0,1.9,2.35242891594e+43
1151.0,1710.628354,271.75,38.5,23.18,1.5,3.40252670514e+44
1153.0,231.1843322,524.31,18.3,21.72,1.2,6.02045173558e+44
1156.0,,116.89,11.0,23.49,2,1.79866013797e+43
1157.0,79.57254879,18.618,42.5,21.6,1.9,1.763017769e+42
1158.0,,99.9,44.0,23.82,2,5.2551529479e+43
1161.0,615.1536785,105.53,26.7,20.0,1.9,3.55848258797e+43
1162.0,689.8605075,109.96,14.4,20.0,1.5,2.08369266013e+43
1165.0,7.941417222,372.5,30.7,23.76,1.9,5.09791555323e+44
1166.0,,465.28,8.2,19.73,1.5,2.12443931326e+44
1167.0,,394.99,9.2,22.2,2,1.71775703639e+44
1168.0,92.0483371,296.5,9.3,21.79,1.5,9.78439667628e+43
1172.0,769.9119813,292.0,87.5,20.0,1.2,8.92843751093e+44
1176.0,,318.67,8.2,20.0,1.2,9.96547308623e+43
1177.0,,75.6,23.0,23.76,2,1.57316086654e+43
1178.0,979.6861638,147.91,21.4,20.0,1.5,5.6028701167e+43
1179.0,,721.67,5.9,20.73,2,3.67731660657e+44
1182.0,2304.794311,69.99,56.3,20.53,1.5,3.30051787653e+43
1183.0,,209.9,96.6,20.0,1.5,5.0933522332e+44
1184.0,13.42613637,33.85,20.0,24.16,1.9,2.74251523735e+42
1185.0,,180.92,13.1,20.0,1.2,5.13152159964e+43
1186.0,,153.92,21.9,24.2,2,6.20920404455e+43
1187.0,740.8563154,332.17,9.8,21.64,1.5,1.29404266726e+44
1188.0,,20.94,283.1,24.33,2,1.4855761947e+43
1189.0,,129.49,43.7,20.0,1,8.7691117823e+43
1192.0,,146.31,14.2,23.64,2,3.63779375011e+43
1194.0,,157.92,12.6,20.0,1.9,3.76050805476e+43
1195.0,529.5582947,566.85,15.3,21.11,1.2,5.88341441513e+44
1198.0,,73.25,48.8,24.3,2,3.13355114498e+43
1199.0,,164.31,8.7,22.95,2,2.81092301495e+43
1200.0,34.28762307,213.86,12.1,20.41,2,6.62286957885e+43
1202.0,,76.35,26.5,23.82,2,1.84869669238e+43
1203.0,,250.92,12.4,23.36,2,9.34316353336e+43
1204.0,,3564.81,10.5,20.48,2,1.59684874544e+46
1206.0,,850.98,14.6,20.0,1,1.26529930595e+45
1207.0,,793.49,10.3,22.57,2,7.76107442251e+44
