,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity,Broad Halpha Luminosity
1009,194.4672861,128.1,9.2,20.0,1,1.80670727913e+43,3.81897240597e+41
1013,490.832704,384.63,26.7,21.36,1.2,4.72714886011e+44,8.69003467123e+42
1015,264.1945168,253.76,14.2,20.0,1.2,1.09429995946e+44,2.03597217623e+42
1032,1269.154315,165.08,46.8,20.0,1.2,1.52628796922e+44,4.13909179929e+42
1036,455.1756949,307.54,8.5,20.7,1,9.62108060686e+43,5.15209653049e+42
1042,1056.205313,45.13,21.1,20.85,1.5,5.14297993336e+42,2.57442783425e+41
1043,501.8119308,178.16,12.9,20.0,1.2,4.90017765783e+43,1.90617644321e+42
1045,263.8780612,236.06,18.4,20.52,1.2,1.22705586632e+44,1.75974523363e+42
1046,836.9944993,22.8,66.1,20.97,1.5,4.11218704891e+42,5.20707706509e+40
1060,55.46849633,165.48,16.2,22.62,1.9,5.30893913647e+43,1.81777080869e+41
1063,303.0997032,110.88,15.4,20.78,1.2,2.26583803571e+43,4.45957685794e+41
1064,229.2115407,64.24,44.2,21.08,1.9,2.1829060341e+43,1.13200736489e+41
1084,240.0128053,214.22,9.5,21.3,1.5,5.21729438865e+43,1.31812364452e+42
1088,8714.913568,488.36,44.8,21.36,1,1.27867416808e+45,2.48739617332e+44
1089,8099.286799,219.29,15.9,21.15,1.2,9.15032431221e+43,4.66107552883e+43
1090,1931.649463,152.61,83.3,20.0,1.2,2.32173524162e+44,5.38388791441e+42
1099,1555.090993,118.08,17.2,21.2,1.2,2.87000625559e+43,2.59483771972e+42
1102,4648.550635,382.92,30.8,20.0,1.2,5.40466181942e+44,8.15709225086e+43
1106,138.0031538,228.71,10.9,21.57,1.5,6.82336358177e+43,8.63895131934e+41
1108,9.585264747,474.23,15.0,22.99,1.9,4.0371140157e+44,2.57978711029e+41
1110,150.7060094,65.93,178.5,22.78,1.2,9.28551678553e+43,7.83968168047e+40
1114,1279.617014,132.83,37.1,20.7,1.2,7.83371851809e+43,2.701929784e+42
1116,252.0463076,303.19,14.9,21.43,1.9,1.63914631592e+44,2.77275688956e+42
1117,62.04920233,111.54,19.3,21.28,1.5,2.87356017965e+43,9.23845165776e+40
